Place_name,Score,review,Link,Addr,Lat,Lng,Phone,Subcategory
여의도 마리나선착장 앞 대여소,0.0,0,https://place.map.kakao.com/2111559031,서울 영등포구 여의도동 8,37.5313295194772,126.924243532498,,자전거대여소
신촌 청년주택 대여소,0.0,0,https://place.map.kakao.com/261151373,서울 마포구 창전동 15-1,37.5502208105167,126.932303523047,,자전거대여소
월드컵경기장역 3번출구 옆 대여소,0.0,0,https://place.map.kakao.com/1115608134,서울 마포구 월드컵로 지하 240,37.569942569034,126.899033325814,,자전거대여소
성산시영아파트 대여소,0.0,0,https://place.map.kakao.com/1819819492,서울 마포구 성산동 450,37.5691985241066,126.902241119531,,자전거대여소
양화한강공원자전거대여소,0.0,0,https://place.map.kakao.com/27265847,서울 영등포구 노들로 237,37.5375654231493,126.904028504082,02-488-8366,자전거대여소
연세대 정문 건너편 대여소,0.0,0,https://place.map.kakao.com/2097863610,서울 서대문구 창천동 76-20,37.5598615962863,126.935233746988,,자전거대여소
서강대 남문 옆 대여소,0.0,0,https://place.map.kakao.com/1766086893,서울 마포구 신수동 1-31,37.5494692007321,126.93891820355,,자전거대여소
서강나루 공원 대여소,0.0,0,https://place.map.kakao.com/1851548574,서울 마포구 창전동 165-5,37.5452727242544,126.931088833903,,자전거대여소
서울 월드컵 경기장 대여소,0.0,1,https://place.map.kakao.com/203505928,서울 마포구 성산동 534-11,37.5669914824131,126.896060844545,,자전거대여소
홈플러스 앞 대여소,0.0,0,https://place.map.kakao.com/1870851249,서울 마포구 성산동 421-23,37.5693858759653,126.899492967377,,자전거대여소
마포구청 청사내 대여소,0.0,0,https://place.map.kakao.com/1394305252,서울 마포구 성산동 370,37.566242380606,126.901942313723,,자전거대여소
당산육갑문 대여소,0.0,0,https://place.map.kakao.com/1467976537,서울 영등포구 당산동6가 281-1,37.534783263635,126.90352372208,,자전거대여소
연희삼거리 대여소,0.0,0,https://place.map.kakao.com/997419616,서울 서대문구 연희동 134-5,37.5680993794969,126.93151741068,,자전거대여소
신촌역(2호선) 6번출구 옆 대여소,0.0,0,https://place.map.kakao.com/1336883896,서울 마포구 노고산동 31-6,37.5549676178191,126.937685679963,,자전거대여소
경의선(노고산동) 대여소,0.0,0,https://place.map.kakao.com/1392312629,서울 마포구 창전동 1-33,37.5534083635739,126.933736883604,,자전거대여소
가좌삼거리 대여소,0.0,0,https://place.map.kakao.com/358209900,서울 서대문구 북가좌동 487-1,37.5708135895334,126.913234130848,,자전거대여소
이화여대 후문 대여소,0.0,0,https://place.map.kakao.com/2012376827,서울 서대문구 신촌동 89-4,37.5601395740277,126.939342974903,,자전거대여소
선유도역 3번출구 앞 대여소,0.0,0,https://place.map.kakao.com/2056506103,서울 영등포구 양평동4가 202-1,37.5380643708059,126.894694026128,,자전거대여소
서강대 정문 건너편 대여소,0.0,0,https://place.map.kakao.com/1456409819,서울 마포구 신수동 85-26,37.5495864541738,126.938289592345,,자전거대여소
마포 신수공원 앞 대여소,0.0,0,https://place.map.kakao.com/1231648754,서울 마포구 현석동 225-2,37.5429794590286,126.934497800092,,자전거대여소
